Project Number,Zip Code,Sector,Purchase Type,Application_Month,Project Status,Total Inverter Quantity,Total PV Module Quantity,Hardware Cost,Labor Cost,misc cost,$Incentive,Total Nameplate kW DC,Expected kWh Annual Production,
295561,10532,Residential,Power Purchase Agreement,12,Pipeline,2,43,20739.6712,8825.392,14561.8968,2752,13.76,13629,44126.96
278536,10532,Residential,Power Purchase Agreement,5,Pipeline,1,35,20129.312,6470.136,9345.752,2240,11.2,10745,35945.2
272919,10532,Residential,Power Purchase Agreement,7,Complete,1,35,24802.188,3953.972,7189.04,1523,11.2,10063,35945.2
288690,10532,Residential,Power Purchase Agreement,28,Complete,1,34,11873.6432,4190.6976,18858.1392,1001,10.88,6560,34922.48
295357,10532,Residential,Lease,5,Complete,28,28,13296,3456.96,9839.04,2266,9.52,8485,26592
311202,10532,Non-Residential,Lease,4,Pipeline,6,1592,401184,173846.4,762249.6,191040,636.8,736446,1337280
286407,10532,Non-Residential,Lease,14,Pipeline,2,540,68040,58968,326592,64800,216,242419,453600
308262,10533,Residential,Lease,14,Pipeline,1,22,13804.3,1891,3214.7,924,7.7,6072,18910
283114,10535,Residential,Lease,15,Complete,14,14,3514.75,1405.9,9138.35,582,4.34,3889,14059
283116,10535,Residential,Lease,15,Complete,9,9,1286.74,1880.62,6730.64,558,2.79,2686,9898
301792,10536,Residential,Power Purchase Agreement,10,Complete,47,47,32809.1697,9793.782,6365.9583,2994,15.28,11336,48968.91
302432,10536,Residential,Lease,7,Pipeline,2,31,20219.38,3986.92,4271.7,1223,10.54,7591,28478
309541,10537,Residential,Purchase,1,Complete,21,21,1700,1870,13430,1533,7.67,9173,17000
310358,10538,Residential,Purchase,4,Pipeline,69,69,25200,11200,33600,5000,26.91,28174,70000
301462,10538,Residential,Purchase,7,Pipeline,51,51,30988.04,9354.88,18125.08,3468,17.34,17408,58468
284029,10538,Residential,Purchase,6,Complete,23,23,27013.605,4322.1768,4682.3582,1169,9.43,7700,36018.14
313184,10538,Residential,Purchase,17,Pipeline,2,38,10646.3347,2856.3337,12464.0016,1344,12.92,8835,25966.67
291618,10538,Residential,Purchase,23,Pipeline,17,17,8917.35,2286.5,11661.15,1190,5.95,7272,22865
285877,10538,Residential,Purchase,23,Complete,1,33,7667,2931.5,11951.5,2244,11.22,11644,22550
300362,10538,Residential,Lease,31,Complete,1,11,4480.28,2560.16,8960.56,501,3.85,3298,16001
280693,10541,Residential,Power Purchase Agreement,19,Complete,44,44,35765.184,6419.392,3668.224,5005,14.3,15356,45852.8
310669,10541,Residential,Purchase,2,Pipeline,34,34,15124,7562,17114,4403,12.58,13291,39800
311651,10541,Residential,Purchase,17,Complete,12,12,3220,1265,7015,1428,4.08,4311,11500
312445,10543,Residential,Purchase,10,Pipeline,2,50,14680,10276,48444,3400,17,16291,73400
278171,10543,Residential,Purchase,9,Pipeline,20,20,7462,11480,38458,912,8,6054,57400
280758,10543,Residential,Purchase,22,Complete,24,24,4128.72,3440.6,26836.68,1632,8.16,9866,34406
312565,10543,Residential,Purchase,11,Pipeline,1,11,20745.3141,4939.3605,7244.3954,748,3.74,3441,32929.07
314616,10543,Residential,Purchase,23,Pipeline,2,48,25256,5904,1640,1991,16.32,13127,32800
305042,10543,Residential,Purchase,7,Pipeline,17,17,20396.3076,4199.2398,5399.0226,900,7.14,5911,29994.57
306570,10543,Residential,Purchase,12,Pipeline,1,21,13483.8,4494.6,6991.6,1659,8.3,8700,24970
