Project Number,Zip Code,Sector,Purchase Type,Application_Month,Project Status,Total Inverter Quantity,Total PV Module Quantity,Hardware Cost,Labor Cost,misc cost,$Incentive,Total Nameplate kW DC,Expected kWh Annual Production,
302637,11375,Residential,Purchase,19,Complete,1,14,14202.387,4102.9118,13255.5612,710,5.46,4857,31560.86
314021,11375,Residential,Purchase,19,Pipeline,1,18,10261.2,3018,16900.8,1260,6.3,6634,30180
302640,11375,Residential,Purchase,14,Complete,1,12,2907.851,5524.9169,20645.7421,936,4.68,5059,29078.51
286634,11375,Residential,Purchase,13,Complete,15,15,9222.4,2934.4,8803.2,960,4.8,5374,20960
293206,11375,Residential,Power Purchase Agreement,24,Pipeline,15,15,11615.6309,3740.6269,4331.2522,1050,5.25,5336,19687.51
303653,11375,Residential,Power Purchase Agreement,21,Pipeline,9,9,5727.436,3140.852,9607.312,684,3.42,3557,18475.6
310302,11375,Residential,Lease,26,Pipeline,1,14,3890.404,3044.664,9979.732,980,4.9,5566,16914.8
296019,11375,Residential,Purchase,10,Complete,1,11,12235.52,1858.56,1393.92,704,3.52,3517,15488
293917,11377,Residential,Purchase,2,Complete,17,17,17835.56,6071.68,14040.76,1224,6.12,6197,37948
280862,11377,Residential,Purchase,5,Complete,9,9,15467.76,6260.76,15099.48,648,3.24,3611,36828
288629,11377,Residential,Purchase,9,Complete,9,9,18412.65,3469.05,4803.3,576,2.88,3271,26685
299313,11377,Residential,Power Purchase Agreement,30,Pipeline,12,12,3841.344,1991.808,8394.048,520,4.56,3557,14227.2
300112,11377,Residential,Lease,30,Complete,1,14,1925.84,1520.4,6689.76,980,4.9,6370,10136
300350,11377,Residential,Lease,31,Complete,1,9,1723.39,749.3,5020.31,630,3.15,4095,7493
297327,11377,Non-Residential,Purchase,19,Complete,1,8,6604.8,2150.4,6604.8,768,2.56,3037,15360
297326,11377,Non-Residential,Purchase,18,Complete,1,8,4608,2611.2,8140.8,768,2.56,3037,15360
297174,11377,Non-Residential,Purchase,18,Complete,1,8,3686.4,2304,9369.6,768,2.56,3048,15360
287974,11378,Residential,Purchase,21,Pipeline,14,14,4428.3,3247.42,21846.28,952,4.76,4792,29522
311288,11378,Residential,Power Purchase Agreement,3,Pipeline,15,15,7016.13,2338.71,11906.16,1140,5.7,6303,21261
288013,11378,Residential,Purchase,21,Complete,1,14,3400,2600,14000,910,4.55,4732,20000
307639,11378,Residential,Power Purchase Agreement,12,Complete,10,10,1523.8,2133.32,11580.88,760,3.8,4420,15238
294743,11378,Residential,Power Purchase Agreement,4,Complete,9,9,6383.772,1988.388,2093.04,404,3.06,2764,10465.2
294747,11378,Residential,Power Purchase Agreement,4,Complete,8,8,4333.776,1751.952,3135.072,354,2.72,2419,9220.8
287772,11378,Non-Residential,Lease,5,Pipeline,8,1513,360650.88,200361.6,440795.52,183218,610.73,746881,1001808
280667,11379,Residential,Purchase,13,Complete,29,29,36655.7,6565.2,11489.1,2146,10.73,12592,54710
309961,11379,Residential,Purchase,4,Pipeline,15,15,22279.6266,5401.1216,6076.2618,990,4.95,5351,33757.01
280771,11379,Residential,Purchase,10,Complete,15,15,12993.75,2835,7796.25,1140,5.7,5928,23625
287805,11379,Residential,Purchase,21,Complete,16,16,4809.504,2290.24,15802.656,1088,5.44,6328,22902.4
291704,11379,Residential,Power Purchase Agreement,12,Pipeline,13,13,8910.72,3527.16,6126.12,910,4.55,5249,18564
293811,11379,Residential,Lease,27,Complete,1,13,6732.8324,2303.3374,8681.8102,884,4.42,4597,17717.98
293470,11379,Residential,Power Purchase Agreement,25,Complete,13,13,4702.88,2519.4,9573.72,884,4.42,5020,16796
305866,11379,Residential,Purchase,3,Pipeline,10,10,9674.8,2743.6,2021.6,760,3.8,3640,14440
291708,11379,Residential,Power Purchase Agreement,12,Pipeline,7,7,7758.66,1989.4,198.94,490,2.45,2816,9947
305468,11385,Residential,Purchase,5,Complete,38,38,46295.55,11757.6,15431.85,2485,12.43,15623,73485
302066,11385,Residential,Purchase,9,Complete,1,21,27282,7729.9,10458.1,1638,8.19,8487,45470
272145,11385,Residential,Purchase,19,Pipeline,18,18,19377.96,4559.52,4559.52,1296,6.48,10759,28497
279264,11385,Residential,Power Purchase Agreement,19,Complete,17,17,4498.2,3823.47,14169.33,1190,5.95,5909,22491
307280,11385,Residential,Purchase,11,Pipeline,1,15,3408,2556,15336,1050,5.25,6200,21300
302680,11385,Residential,Power Purchase Agreement,15,Pipeline,11,11,2964.456,2305.688,11199.056,836,4.18,4576,16469.2
286550,11385,Residential,Power Purchase Agreement,5,Complete,15,15,8162.55,2819.79,3858.66,632,5.1,4322,14841
313888,11385,Residential,Power Purchase Agreement,18,Pipeline,10,10,1994.1,1462.34,9837.56,680,3.4,3719,13294
303598,11385,Residential,Power Purchase Agreement,21,Complete,9,9,5643,1354.32,4288.68,684,3.42,3649,11286
303594,11385,Residential,Power Purchase Agreement,21,Complete,9,9,8499.384,1118.34,1565.676,684,3.42,3603,11183.4
278912,11385,Residential,Power Purchase Agreement,6,Pipeline,9,9,2010.42,2233.8,6924.78,612,3.06,3434,11169
278919,11385,Residential,Power Purchase Agreement,6,Complete,8,8,5243.616,1336.608,3701.376,544,2.72,3164,10281.6
278917,11385,Residential,Power Purchase Agreement,6,Pipeline,8,8,1850.688,1233.792,7197.12,544,2.72,3201,10281.6
308094,11385,Residential,Power Purchase Agreement,14,Complete,9,9,6182.676,1702.476,1075.248,472,3.42,3187,8960.4
293660,11385,Non-Residential,Purchase,3,Complete,1,15,33931.7,8020.22,19742.08,2558,4.65,4819,61694
293657,11385,Non-Residential,Purchase,3,Complete,1,15,22209.84,6169.4,33314.76,2558,4.65,4819,61694
257191,11411,Residential,Purchase,14,Complete,36,36,27912.06,10337.8,13439.14,2664,13.32,14651,51689
302032,11411,Residential,Power Purchase Agreement,9,Pipeline,30,30,6118.0886,9412.444,31531.6874,1505,11.4,10238,47062.22
292870,11411,Residential,Purchase,22,Complete,26,26,4773.7536,6943.6416,31680.3648,1183,9.1,7969,43397.76
299188,11411,Residential,Purchase,2,Pipeline,7,7,18364.28,4173.7,19199.02,476,2.38,2764,41737
290466,11411,Residential,Purchase,5,Complete,13,13,4253.3942,5026.7386,29387.0872,1066,5.33,5686,38667.22
293931,11411,Residential,Power Purchase Agreement,27,Complete,31,31,14517.2,5081.02,16694.78,2170,10.85,11381,36293
286162,11411,Residential,Power Purchase Agreement,22,Complete,25,25,23606.6319,5131.8765,5474.0016,1750,8.75,9151,34212.51
311150,11411,Residential,Purchase,3,Pipeline,21,21,21529.242,4368.252,5304.306,942,7.98,6327,31201.8
308657,11411,Residential,Power Purchase Agreement,18,Pipeline,23,23,20734.155,4206.93,5108.415,1541,7.71,7822,30049.5
311203,11411,Residential,Power Purchase Agreement,3,Pipeline,22,22,4167.856,5060.968,20541.576,1496,7.48,8586,29770.4
311481,11411,Residential,Power Purchase Agreement,4,Pipeline,26,26,22984,4884.1,861.9,1185,8.84,8054,28730
306153,11411,Residential,Lease,13,Complete,12,12,4505.28,3942.12,19710.6,785,3.92,4915,28158
265197,11411,Residential,Purchase,12,Pipeline,16,16,4411.1248,3308.3436,19850.0616,1152,5.76,7001,27569.53
302500,11411,Residential,Power Purchase Agreement,14,Pipeline,19,19,9931.832,4704.552,11500.016,1444,7.22,6861,26136.4
299998,11411,Residential,Purchase,10,Pipeline,14,14,6858,3048,15494,1022,5.11,5974,25400
306413,11411,Residential,Power Purchase Agreement,6,Pipeline,20,20,15514.88,5004.8,4504.32,1360,6.8,8724,25024
288684,11411,Residential,Power Purchase Agreement,27,Complete,17,17,13351.8,4450.6,4450.6,1190,5.95,6433,22253
297193,11411,Residential,Power Purchase Agreement,18,Complete,23,23,16111.392,3972.672,1986.336,979,8.74,6635,22070.4
302251,11411,Residential,Purchase,12,Pipeline,1,12,5237.1125,2513.814,13197.5235,816,4.08,4766,20948.45
301103,11411,Residential,Power Purchase Agreement,3,Pipeline,14,14,8263.36,2272.424,10122.616,952,4.76,6235,20658.4
280871,11411,Residential,Purchase,6,Complete,1,14,9481.0462,2679.4261,8450.4977,896,4.48,4805,20610.97
293512,11411,Residential,Power Purchase Agreement,25,Complete,17,17,12718.72,2980.95,4173.33,738,5.95,4982,19873
316578,11411,Residential,Lease,30,Pipeline,15,15,6711.6,2566.2,10462.2,1050,5.25,5644,19740
298655,11411,Residential,Purchase,1,Complete,8,8,11407.768,2320.224,5607.208,523,2.62,3250,19335.2
306249,11411,Residential,Power Purchase Agreement,5,Pipeline,20,20,2509.52,3667.76,13126.72,836,7.6,5681,19304
307871,11411,Residential,Lease,13,Complete,1,15,12397.6125,3242.4525,3433.185,1050,5.25,6523,19073.25
303344,11411,Residential,Lease,19,Complete,10,10,5305.84,3110.32,9879.84,720,3.6,3890,18296
310068,11411,Residential,Lease,25,Pipeline,1,23,3071.16,2101.32,10991.52,1564,7.82,7503,16164
297787,11411,Residential,Purchase,19,Complete,1,12,8836.3,1767.26,5462.44,816,4.08,5124,16066
265751,11411,Residential,Power Purchase Agreement,6,Complete,11,11,5712.245,2161.39,7564.865,770,3.85,4315,15438.5
284698,11411,Residential,Power Purchase Agreement,7,Complete,10,10,6366.15,2961,5477.85,700,3.5,4396,14805
291794,11411,Residential,Purchase,16,Pipeline,1,10,10554.4203,1734.9732,2168.7165,680,3.4,4408,14458.11
301261,11411,Residential,Power Purchase Agreement,6,Pipeline,11,11,8859.312,2812.48,2390.608,748,3.74,3756,14062.4
309007,11411,Residential,Lease,19,Complete,1,17,2833.68,1534.91,7438.41,1156,5.78,5698,11807
313056,11411,Residential,Lease,15,Pipeline,1,12,3372.25,1316,3536.75,816,4.08,5014,8225
308681,11412,Residential,Lease,18,Pipeline,25,25,15726.3608,9932.4384,57111.5208,1850,9.25,9533,82770.32
289580,11412,Residential,Purchase,25,Pipeline,20,20,17991.31,6824.29,37223.4,1280,6.4,6098,62039
288634,11412,Residential,Purchase,7,Pipeline,12,12,31168.26,5771.9,20778.84,604,4.44,4068,57719
311694,11412,Residential,Purchase,7,Pipeline,32,32,28089.6,11235.84,16853.76,2432,12.16,13015,56179.2
294184,11412,Residential,Purchase,3,Pipeline,8,8,26781.96,9095.76,14654.28,592,2.96,3478,50532
286228,11412,Residential,Purchase,2,Complete,25,25,13521.25,6061.25,27042.5,1625,8.13,8568,46625
297536,11412,Residential,Purchase,16,Complete,20,20,31678.59,9182.2,5050.21,5232,6.54,7551,45911
299892,11412,Residential,Purchase,15,Pipeline,8,8,4552.3,4552.3,36418.4,544,2.72,3122,45523
293764,11412,Residential,Purchase,2,Pipeline,1,23,7035.84,7915.32,29022.84,1794,8.97,9202,43974
300804,11412,Residential,Purchase,7,Complete,15,15,12277.15,5080.2,24977.65,981,4.91,5630,42335
315287,11412,Residential,Purchase,23,Pipeline,18,18,18524.7128,4210.162,19366.7452,1476,7.38,8139,42101.62
292589,11412,Residential,Purchase,18,Complete,23,23,30500.9888,4414.6168,5217.2744,1564,7.82,7971,40132.88
302940,11412,Residential,Purchase,23,Pipeline,1,20,32076,7618.05,400.95,925,6.8,6199,40095
305025,11412,Residential,Purchase,14,Complete,15,15,18713.52,4777.92,16324.56,981,4.91,5233,39816
302576,11412,Residential,Power Purchase Agreement,14,Pipeline,25,25,22131.2,7508.8,9880,1900,9.5,10649,39520
305552,11412,Residential,Purchase,15,Complete,17,17,28795.62,5836.95,4280.43,1112,5.56,5749,38913
297950,11412,Residential,Purchase,2,Pipeline,14,14,8349.6,6958,19482.4,952,4.76,4528,34790
284158,11412,Residential,Purchase,17,Complete,28,28,19014.6,4494.36,11063.04,1388,10.36,9304,34572
314061,11412,Residential,Purchase,21,Pipeline,10,10,12639.94,4099.44,17422.62,760,3.8,4413,34162
278718,11412,Residential,Power Purchase Agreement,9,Complete,24,24,8935.92,4633.44,19526.64,1680,8.4,8962,33096
292155,11412,Residential,Power Purchase Agreement,17,Complete,24,24,5761.56,4851.84,19710.6,1680,8.4,7941,30324
293435,11412,Residential,Lease,25,Complete,1,20,9368.4542,6044.164,14808.2018,1360,6.8,6984,30220.82
311795,11412,Residential,Power Purchase Agreement,7,Pipeline,27,27,20586.15,3878.55,5370.3,1836,9.18,9326,29835
288360,11412,Residential,Power Purchase Agreement,23,Complete,23,23,4431.525,3840.655,21271.32,1095,8.05,7444,29543.5
313029,11412,Residential,Purchase,15,Pipeline,13,13,6200.2542,4428.753,18896.0128,936,4.68,4483,29525.02
310884,11412,Residential,Purchase,2,Pipeline,1,15,4042.5,4042.5,20790,1050,5.25,6984,28875
307032,11412,Residential,Purchase,14,Complete,12,12,3737.864,4887.976,20126.96,785,3.92,5087,28752.8
288965,11412,Residential,Power Purchase Agreement,27,Complete,27,27,13171.41,2863.35,12598.74,1247,9.45,8362,28633.5
312912,11412,Residential,Power Purchase Agreement,15,Pipeline,19,19,21813.33,5382.51,1133.16,1444,7.22,7764,28329
297601,11412,Residential,Purchase,18,Complete,17,17,5245.1799,4416.9936,17944.0365,906,6.97,6080,27606.21
301970,11412,Residential,Purchase,13,Complete,12,12,12360.6,4944.24,10163.16,785,3.92,5034,27468
294599,11412,Residential,Power Purchase Agreement,17,Complete,24,24,19323.36,4354.56,3538.08,1042,8.4,7014,27216
280019,11412,Residential,Purchase,5,Complete,10,10,9679.2,3139.2,13341.6,654,3.27,4239,26160
296382,11412,Residential,Purchase,17,Complete,16,16,10898.16,4151.68,10898.16,1088,5.44,5841,25948
281272,11412,Residential,Power Purchase Agreement,12,Complete,18,18,14652.54,3789.45,6821.01,1260,6.3,7005,25263
296368,11412,Residential,Power Purchase Agreement,12,Complete,20,20,8064,4788,12348,1400,7,7171,25200
307968,11412,Residential,Power Purchase Agreement,13,Pipeline,1,24,2740.9536,3737.664,18439.1424,1512,7.56,7555,24917.76
312891,11412,Residential,Purchase,16,Pipeline,9,9,16410.168,3861.216,3861.216,589,2.94,3776,24132.6
279396,11412,Residential,Power Purchase Agreement,11,Pipeline,21,21,7691.04,3605.175,12738.285,1014,7.35,6835,24034.5
262215,11412,Residential,Power Purchase Agreement,5,Complete,18,18,17191.44,4059.09,2626.47,1260,6.3,6277,23877
312317,11412,Residential,Purchase,11,Pipeline,10,10,4669.56,2890.68,14675.76,654,3.27,4151,22236
299287,11412,Residential,Power Purchase Agreement,6,Pipeline,16,16,16361.4,3926.736,1527.064,1072,5.36,5719,21815.2
288447,11412,Residential,Power Purchase Agreement,23,Complete,17,17,2534.7012,2957.1514,15630.6574,809,5.95,5488,21122.51
288975,11412,Residential,Power Purchase Agreement,12,Pipeline,16,16,12860.784,2489.184,5393.232,1120,5.6,6353,20743.2
280363,11412,Residential,Power Purchase Agreement,12,Complete,16,16,8550.08,3109.12,7772.8,728,5.6,4902,19432
312143,11412,Residential,Lease,9,Pipeline,15,15,15076.62,2319.48,1932.9,1020,5.1,5708,19329
272492,11412,Residential,Power Purchase Agreement,22,Complete,14,14,13185.9,2102.1,3822,980,4.9,5294,19110
307832,11412,Residential,Lease,12,Pipeline,29,29,14513.72,2673.58,1909.7,1321,9.86,8967,19097
288897,11412,Residential,Power Purchase Agreement,5,Pipeline,14,14,13234.9,2538.2,2356.9,980,4.9,5124,18130
272490,11412,Residential,Power Purchase Agreement,22,Complete,12,12,5973.66,3439.38,8688.96,840,4.2,6236,18102
278929,11412,Residential,Power Purchase Agreement,13,Complete,13,13,9631.44,3032.12,5172.44,910,4.55,4670,17836
278010,11412,Residential,Lease,6,Complete,24,24,10980.27,3137.22,3311.51,1143,8.28,7696,17429
292552,11412,Residential,Purchase,18,Complete,10,10,7353,2736,7011,700,3.5,3734,17100
310035,11412,Residential,Lease,25,Pipeline,23,23,6248.56,1857.68,8781.76,1564,7.82,8301,16888
284026,11412,Residential,Purchase,14,Complete,9,9,7339.0005,1630.889,7339.0005,738,3.69,3588,16308.89
277049,11412,Residential,Power Purchase Agreement,9,Complete,12,12,8801.1,2880.36,4320.54,840,4.2,4651,16002
312906,11412,Residential,Purchase,15,Pipeline,6,6,4959.1072,1599.712,9438.3008,392,1.96,2438,15997.12
291096,11412,Residential,Lease,9,Complete,21,21,3169,1742.95,10933.05,1491,7.46,9464,15845
312469,11412,Residential,Lease,10,Pipeline,12,12,3043.68,3043.68,9131.04,816,4.08,4390,15218.4
298956,11412,Residential,Power Purchase Agreement,26,Pipeline,13,13,3497.104,2584.816,9122.88,592,4.42,3880,15204.8
297118,11412,Residential,Power Purchase Agreement,17,Pipeline,15,15,6076,1974.7,7139.3,567,5.25,3828,15190
303982,11412,Residential,Lease,22,Pipeline,21,21,4539.33,2489.31,7614.36,1428,7.14,6974,14643
288829,11412,Residential,Power Purchase Agreement,10,Complete,12,12,4347,1883.7,8259.3,840,4.2,3999,14490
305360,11412,Residential,Lease,28,Complete,1,22,10293.12,2287.36,1715.52,838,7.48,5703,14296
302522,11412,Residential,Power Purchase Agreement,14,Pipeline,11,11,6601.056,1375.22,5775.924,836,4.18,4367,13752.2
302526,11412,Residential,Power Purchase Agreement,14,Pipeline,11,11,2717,2717,8151,836,4.18,4285,13585
306566,11412,Residential,Lease,5,Complete,19,19,1608.84,1474.77,10323.39,1292,6.46,7998,13407
305377,11412,Residential,Lease,28,Complete,19,19,6657,1464.54,5192.46,891,6.46,6011,13314
311938,11412,Residential,Power Purchase Agreement,8,Pipeline,11,11,1856.91,2352.086,8170.404,509,3.74,3448,12379.4
291347,11412,Residential,Lease,10,Complete,16,16,2680.7,1462.2,8042.1,717,5.6,4840,12185
294845,11412,Residential,Power Purchase Agreement,4,Pipeline,10,10,8884.4,1285.9,1519.7,700,3.5,4131,11690
299907,11412,Residential,Lease,30,Pipeline,1,17,7447.04,1163.6,3025.36,1105,5.53,5474,11636
288874,11412,Residential,Lease,29,Complete,15,15,6703.06,1733.55,3120.39,1020,5.1,5097,11557
316194,11412,Residential,Lease,29,Pipeline,19,19,1133.3,2039.94,8159.76,1197,5.99,5649,11333
315261,11412,Residential,Power Purchase Agreement,23,Pipeline,8,8,2963.088,1097.44,6913.872,608,3.04,3212,10974.4
315269,11412,Residential,Power Purchase Agreement,23,Pipeline,8,8,4761.856,1948.032,4112.512,608,3.04,3156,10822.4
298858,11412,Residential,Lease,25,Complete,15,15,4323.2,1729.28,4755.52,704,5.1,4761,10808
300872,11412,Residential,Power Purchase Agreement,2,Pipeline,10,10,2677.5,1392.3,6640.2,378,3.5,2571,10710
312192,11412,Residential,Lease,9,Pipeline,1,8,1019.66,839.72,4138.62,520,2.6,3125,5998
313374,11413,Residential,Lease,16,Pipeline,30,30,48262.8846,15810.2553,19138.7301,1962,9.81,10378,83211.87
303006,11413,Residential,Lease,16,Complete,40,40,47088,6474.6,5297.4,2616,13.08,12665,58860
290936,11413,Residential,Power Purchase Agreement,18,Pipeline,25,25,25392,10488,19320,6300,7.87,8814,55200
292257,11413,Residential,Purchase,24,Complete,25,25,18768,9384,27048,6300,7.87,8814,55200
286278,11413,Residential,Purchase,24,Complete,14,14,31524.57,6004.68,12509.75,896,4.48,4996,50039
312010,11413,Residential,Lease,8,Pipeline,16,16,27923.6476,7221.633,12998.9394,1046,5.23,4946,48144.22
312037,11413,Residential,Lease,8,Pipeline,14,14,13369.5492,8117.2263,26261.6145,916,4.58,4562,47748.39
306655,11413,Residential,Purchase,3,Pipeline,15,15,35966.7,7006.5,3736.8,1080,5.4,6933,46710
289370,11413,Residential,Purchase,8,Complete,19,19,21340.8,7558.2,15561,1368,6.84,8382,44460
304140,11413,Residential,Lease,23,Pipeline,12,12,9477.3756,5169.4776,28432.1268,785,3.92,4610,43078.98
310961,11413,Residential,Purchase,2,Pipeline,23,23,23904.1299,6290.5605,11742.3796,1656,8.28,9504,41937.07
287400,11413,Residential,Purchase,18,Complete,20,20,4890.36,4890.36,30972.28,1280,6.4,8124,40753
288873,11413,Residential,Lease,28,Pipeline,31,31,10509.31,6885.41,18844.28,2170,10.85,11817,36239
299159,11413,Residential,Lease,30,Complete,20,20,19867.1,6140.74,10114.16,1308,6.54,7521,36122
304025,11413,Residential,Power Purchase Agreement,23,Pipeline,24,24,25714.6,5075.25,3045.15,1824,9.12,9914,33835
302024,11413,Residential,Power Purchase Agreement,9,Pipeline,24,24,20507.712,4034.304,9077.184,1632,8.16,9735,33619.2
301531,11413,Residential,Purchase,7,Complete,12,12,19563.102,4642.092,8952.606,785,3.92,4928,33157.8
287296,11413,Residential,Lease,21,Complete,22,22,24611.4,4265.976,3937.824,1452,7.26,7706,32815.2
300279,11413,Residential,Lease,31,Pipeline,24,24,16904.16,5526.36,10077.48,1680,8.4,8740,32508
301072,11413,Residential,Purchase,20,Complete,1,10,24683.12,5770.08,1602.8,2920,3.65,3510,32056
300898,11413,Residential,Purchase,1,Pipeline,12,12,12992.6417,6020.9803,12675.748,984,4.92,5664,31689.37
313958,11413,Residential,Purchase,18,Pipeline,1,20,16763.0043,6325.662,8539.6437,1360,6.8,7301,31628.31
297658,11413,Residential,Lease,19,Complete,48,48,14726.04,4699.8,11906.16,3360,16.8,15978,31332
276324,11413,Residential,Power Purchase Agreement,5,Complete,23,23,17528.07,5535.18,7687.75,1610,8.05,9260,30751
311750,11413,Residential,Purchase,7,Complete,12,12,20947.5,5586,1396.5,840,4.2,4452,27930
288986,11413,Residential,Lease,24,Complete,22,22,17270.2922,4735.4027,5849.6151,1518,7.59,8918,27855.31
282145,11413,Residential,Purchase,3,Complete,12,12,9433.3,3329.4,14982.3,785,3.92,4769,27745
293733,11413,Residential,Purchase,25,Complete,17,17,6915.985,3596.3122,17151.6428,1190,5.95,7491,27663.94
286177,11413,Residential,Power Purchase Agreement,30,Complete,21,21,2712.149,5153.0831,19256.2579,1470,7.35,7368,27121.49
268209,11413,Residential,Power Purchase Agreement,10,Complete,25,25,5372.502,3492.1263,17997.8817,998,8.75,6792,26862.51
308266,11413,Residential,Purchase,14,Pipeline,17,17,19235.9736,5076.1597,2404.4967,1156,5.78,6933,26716.63
289296,11413,Residential,Purchase,4,Complete,11,11,7391.44,3695.72,15310.84,719,3.6,4372,26398
307509,11413,Residential,Power Purchase Agreement,11,Complete,20,20,15994.2,4981.8,5244,2660,7.6,7502,26220
283405,11413,Residential,Power Purchase Agreement,13,Pipeline,19,19,6064.8,3285.1,15920.1,1330,6.65,6769,25270
288972,11413,Residential,Lease,28,Pipeline,1,19,18755.9175,4501.4202,1750.5523,1292,6.46,6819,25007.89
297100,11413,Residential,Power Purchase Agreement,17,Pipeline,22,22,13509.65,2701.93,8351.42,1540,7.7,8126,24563
311506,11413,Residential,Purchase,16,Pipeline,1,20,8820,4410,11270,1460,7.3,8306,24500
307673,11413,Residential,Lease,12,Complete,18,18,4395.384,3907.008,16116.408,1224,6.12,7438,24418.8
309631,11413,Residential,Purchase,24,Pipeline,16,16,5328.3032,2664.1516,16227.1052,1040,5.2,5610,24219.56
303257,11413,Residential,Power Purchase Agreement,17,Pipeline,17,17,13777.208,4436.728,5137.264,1156,5.78,6869,23351.2
287427,11413,Residential,Power Purchase Agreement,23,Complete,19,19,9570.0109,2567.5639,11203.9152,1330,6.65,7388,23341.49
292120,11413,Residential,Purchase,16,Pipeline,1,12,15261.26,3416.7,4100.04,816,4.08,4794,22778
305537,11413,Residential,Power Purchase Agreement,30,Pipeline,19,19,7027.948,2947.204,12695.648,953,7.22,6451,22670.8
300016,11413,Residential,Power Purchase Agreement,31,Pipeline,15,15,7673.4,3836.7,9804.9,1050,5.25,5908,21315
289515,11413,Residential,Lease,3,Complete,15,15,9144.81,4253.4,7868.79,1020,5.1,5717,21267
268267,11413,Residential,Power Purchase Agreement,9,Complete,19,19,14778.295,2705.885,3330.32,771,6.65,5209,20814.5
302498,11413,Residential,Power Purchase Agreement,14,Pipeline,14,14,15844.556,2406.768,1805.076,1064,5.32,5378,20056.4
305195,11413,Residential,Lease,13,Complete,12,12,14879.65,3201.95,753.4,785,3.92,4610,18835
294132,11413,Residential,Purchase,23,Complete,7,7,10596.6,3654,4019.4,504,2.52,3233,18270
301747,11413,Residential,Lease,7,Complete,25,25,13368.1,1987.15,2709.75,1033,8.75,6934,18065
312101,11413,Residential,Power Purchase Agreement,9,Pipeline,14,14,2337.79,1798.3,13846.91,952,4.76,5978,17983
277709,11413,Residential,Power Purchase Agreement,30,Complete,12,12,8671.04,2123.52,6901.44,554,4.2,3715,17696
300832,11413,Residential,Power Purchase Agreement,2,Complete,13,13,3527.16,2292.654,11815.986,884,4.42,5000,17635.8
307033,11413,Residential,Power Purchase Agreement,8,Complete,11,11,13135.65,2451.988,1926.562,836,4.18,5193,17514.2
292792,11413,Residential,Power Purchase Agreement,20,Pipeline,12,12,3979.92,3287.76,10036.32,840,4.2,4746,17304
292788,11413,Residential,Power Purchase Agreement,20,Pipeline,12,12,6715.8,3099.6,7404.6,840,4.2,4708,17220
303774,11413,Residential,Lease,22,Complete,11,11,3550.26,3381.2,9974.54,719,3.6,4099,16906
312150,11413,Residential,Power Purchase Agreement,9,Pipeline,13,13,4149.6,2821.728,9627.072,988,4.94,4722,16598.4
315582,11413,Residential,Power Purchase Agreement,25,Pipeline,14,14,9607.584,3312.96,3644.256,952,4.76,4784,16564.8
286170,11413,Residential,Lease,15,Complete,21,21,5627.16,2500.96,7502.88,1428,7.14,7049,15631
286176,11413,Residential,Power Purchase Agreement,30,Complete,12,12,8647.8,2683.8,3578.4,840,4.2,3942,14910
302521,11413,Residential,Power Purchase Agreement,14,Pipeline,10,10,9144.32,2000.32,3143.36,760,3.8,3828,14288
283084,11413,Residential,Power Purchase Agreement,27,Complete,11,11,10484.32,2833.6,850.08,770,3.85,3880,14168
283088,11413,Residential,Power Purchase Agreement,27,Pipeline,11,11,3956.26,1978.13,8195.11,770,3.85,4203,14129.5
271228,11413,Residential,Lease,16,Complete,13,13,7007,2662.66,4344.34,910,4.55,4547,14014
316588,11413,Residential,Lease,30,Pipeline,19,19,4166.7,2222.24,7500.06,1292,6.46,7195,13889
293179,11413,Residential,Purchase,23,Complete,8,8,7827.1716,2609.0572,3295.6512,381,2.8,2571,13731.88
294098,11413,Residential,Lease,1,Complete,18,18,5288.4,1356,6915.6,1260,6.3,7023,13560
300913,11413,Residential,Lease,1,Complete,1,11,1352.736,1758.5568,10416.0672,704,3.52,4283,13527.36
307937,11413,Residential,Power Purchase Agreement,13,Pipeline,14,14,2684.6,2281.91,8456.49,952,4.76,4674,13423
305372,11413,Residential,Power Purchase Agreement,29,Pipeline,9,9,10225.908,1328.04,1726.452,612,3.06,3967,13280.4
306564,11413,Residential,Lease,5,Complete,17,17,9984,1920,896,785,5.95,5337,12800
301002,11413,Residential,Power Purchase Agreement,3,Complete,9,9,1621.62,1871.1,8981.28,630,3.15,3262,12474
271237,11413,Residential,Lease,16,Complete,11,11,9515.66,1977.28,865.06,770,3.85,3848,12358
316582,11413,Residential,Lease,30,Pipeline,17,17,7949.5,1345.3,2935.2,1156,5.78,6097,12230
306184,11413,Residential,Lease,4,Complete,1,18,6075.12,1310.32,4526.56,1224,6.12,5969,11912
292125,11413,Residential,Purchase,16,Pipeline,1,8,5895.6,1734,3930.4,375,2.72,2516,11560
302496,11413,Residential,Power Purchase Agreement,14,Pipeline,8,8,5975.424,1953.504,3562.272,608,3.04,3058,11491.2
291303,11413,Residential,Power Purchase Agreement,10,Complete,8,8,7371,1474.2,2494.8,560,2.8,3082,11340
296137,11413,Residential,Lease,11,Pipeline,1,9,4944.96,1442.28,3914.76,343,3.06,2328,10302
301009,11413,Residential,Power Purchase Agreement,3,Complete,7,7,6866.86,1516.06,535.08,490,2.45,2354,8918
301011,11413,Residential,Power Purchase Agreement,3,Complete,7,7,5882.94,1023.12,1619.94,338,2.45,2268,8526
296511,11413,Residential,Lease,12,Pipeline,11,11,3190,1355.75,3429.25,693,3.47,3450,7975
